query-id,corpus-id,score
sigir-201427,NCT00026468,1
sigir-201427,NCT00055848,0
sigir-201427,NCT00140894,2
sigir-201427,NCT00224679,1
sigir-201427,NCT00253812,0
sigir-201427,NCT00319007,0
sigir-201427,NCT00485069,0
sigir-201427,NCT00525655,2
sigir-201427,NCT00586053,0
sigir-201427,NCT00641147,0
sigir-201427,NCT00663819,0
sigir-201427,NCT00685568,1
sigir-201427,NCT00728026,2
sigir-201427,NCT00748449,1
sigir-201427,NCT00770991,1
sigir-201427,NCT00808743,1
sigir-201427,NCT00823836,0
sigir-201427,NCT00843375,0
sigir-201427,NCT00900016,0
sigir-201427,NCT00905710,0
sigir-201427,NCT01173250,0
sigir-201427,NCT01187901,2
sigir-201427,NCT01245816,0
sigir-201427,NCT01422577,0
sigir-201427,NCT01483144,2
sigir-201427,NCT01495806,0
sigir-201427,NCT01647776,0
sigir-201427,NCT01713881,2
sigir-201427,NCT01722149,0
sigir-201427,NCT01725490,2
sigir-201427,NCT01729416,0
sigir-201427,NCT01737567,0
sigir-201427,NCT01761279,2
sigir-201427,NCT01767870,0
sigir-201427,NCT01960348,1
sigir-201427,NCT02016326,0
sigir-201427,NCT02081742,0
sigir-201427,NCT02113202,1
sigir-201427,NCT02470416,0
sigir-201427,NCT02521727,0
sigir-201427,NCT02538406,2
trec-20211,NCT00002569,1
trec-20211,NCT00002620,1
trec-20211,NCT00003022,1
trec-20211,NCT00003176,1
trec-20211,NCT00003372,1
trec-20211,NCT00003375,1
trec-20211,NCT00003465,1
trec-20211,NCT00003564,1
trec-20211,NCT00004017,1
trec-20211,NCT00004068,1
trec-20211,NCT00004080,1
trec-20211,NCT00004204,1
trec-20211,NCT00004259,1
trec-20211,NCT00004402,1
trec-20211,NCT00004868,1
trec-20211,NCT00005081,1
trec-20211,NCT00005856,1
trec-20211,NCT00005951,1
trec-20211,NCT00006024,1
trec-20211,NCT00006080,1
trec-20211,NCT00006263,1
trec-20211,NCT00006355,1
trec-20211,NCT00006916,1
trec-20211,NCT00007982,1
trec-20211,NCT00024570,1
trec-20211,NCT00028795,1
trec-20211,NCT00032097,1
trec-20211,NCT00033280,1
trec-20211,NCT00039364,1
trec-20211,NCT00047281,1
trec-20211,NCT00047879,1
trec-20211,NCT00052624,1
trec-20211,NCT00062504,1
trec-20211,NCT00093613,1
trec-20211,NCT00100802,1
trec-20211,NCT00114140,1
trec-20211,NCT00114309,1
trec-20211,NCT00115440,1
trec-20211,NCT00253487,1
trec-20211,NCT00303849,1
trec-20211,NCT00335075,1
trec-20211,NCT00352313,1
trec-20211,NCT00360945,1
trec-20211,NCT00378235,1
trec-20211,NCT00392171,1
trec-20211,NCT00397683,1
trec-20211,NCT00430911,1
trec-20211,NCT00431561,1
trec-20211,NCT00445965,1
trec-20211,NCT00473408,1
trec-20211,NCT00504660,1
trec-20211,NCT00526812,1
trec-20211,NCT00606008,1
trec-20211,NCT00616005,1
trec-20211,NCT00626990,1
trec-20211,NCT00683761,1
trec-20211,NCT00717210,1
trec-20211,NCT00720564,1
trec-20211,NCT00734682,1
trec-20211,NCT00761280,1
trec-20211,NCT00783393,1
trec-20211,NCT00841555,1
trec-20211,NCT00884416,1
trec-20211,NCT00968240,1
trec-20211,NCT00978458,1
trec-20211,NCT00990652,1
trec-20211,NCT01014520,1
trec-20211,NCT01082926,1
trec-20211,NCT01235845,1
trec-20211,NCT01347307,1
trec-20211,NCT01392209,1
trec-20211,NCT01434602,1
trec-20211,NCT01466686,1
trec-20211,NCT01479686,1
trec-20211,NCT01502241,1
trec-20211,NCT01514201,1
trec-20211,NCT01702610,1
trec-20211,NCT01721577,1
trec-20211,NCT01765088,1
trec-20211,NCT01784393,1
trec-20211,NCT01837862,1
trec-20211,NCT01847235,1
trec-20211,NCT01861990,1
trec-20211,NCT01952886,1
trec-20211,NCT01999270,1
trec-20211,NCT02022644,1
trec-20211,NCT02099487,1
trec-20211,NCT02300506,1
trec-20211,NCT02414165,1
trec-20211,NCT02490930,1
trec-20211,NCT02755987,1
trec-20211,NCT02761070,1
trec-20211,NCT02796261,1
trec-20211,NCT02800486,1
trec-20211,NCT02942264,1
trec-20211,NCT03022578,1
trec-20211,NCT03102203,1
trec-20211,NCT03332355,1
trec-20211,NCT03434262,1
trec-20211,NCT03450850,1
trec-20211,NCT03514069,1
trec-20211,NCT03528642,1
trec-20211,NCT03581292,1
trec-20211,NCT03593993,1
trec-20211,NCT03603405,1
trec-20211,NCT03633552,1
trec-20211,NCT03662906,1
trec-20211,NCT03668522,1
trec-20211,NCT03843814,1
trec-20211,NCT03896568,1
trec-20211,NCT03906448,1
trec-20211,NCT03973918,1
trec-20211,NCT04105374,1
trec-20211,NCT04197934,1
trec-20211,NCT04254419,1
trec-20211,NCT04334772,1
trec-20211,NCT04541082,1
trec-20211,NCT04628650,1
trec-20211,NCT04643574,1
trec-20211,NCT04704154,1
trec-20211,NCT04752826,1
trec-20211,NCT04757662,1
trec-20211,NCT00002806,0
trec-20211,NCT00003466,0
trec-20211,NCT00003775,0
trec-20211,NCT00003842,0
trec-20211,NCT00014976,0
trec-20211,NCT00103272,0
trec-20211,NCT00125658,0
trec-20211,NCT00178724,0
trec-20211,NCT00226798,0
trec-20211,NCT00257998,0
trec-20211,NCT00300898,0
trec-20211,NCT00360828,0
trec-20211,NCT00362570,0
trec-20211,NCT00369590,0
trec-20211,NCT00389090,0
trec-20211,NCT00390299,0
trec-20211,NCT00400816,0
trec-20211,NCT00409214,0
trec-20211,NCT00412542,0
trec-20211,NCT00553462,0
trec-20211,NCT00590096,0
trec-20211,NCT00623961,0
trec-20211,NCT00630604,0
trec-20211,NCT00668122,0
trec-20211,NCT00700505,0
trec-20211,NCT00702897,0
trec-20211,NCT00734864,0
trec-20211,NCT00738751,0
trec-20211,NCT00745069,0
trec-20211,NCT00793845,0
trec-20211,NCT00804557,0
trec-20211,NCT00856388,0
trec-20211,NCT00876499,0
trec-20211,NCT00928837,0
trec-20211,NCT00942227,0
trec-20211,NCT00974636,0
trec-20211,NCT00976313,0
trec-20211,NCT00995007,0
trec-20211,NCT01004887,0
trec-20211,NCT01020279,0
trec-20211,NCT01022476,0
trec-20211,NCT01022905,0
trec-20211,NCT01026584,0
trec-20211,NCT01029873,0
trec-20211,NCT01046279,0
trec-20211,NCT01063920,0
trec-20211,NCT01080703,0
trec-20211,NCT01110876,0
trec-20211,NCT01113905,0
trec-20211,NCT01119599,0
trec-20211,NCT01154452,0
trec-20211,NCT01156584,0
trec-20211,NCT01189240,0
trec-20211,NCT01193673,0
trec-20211,NCT01256554,0
trec-20211,NCT01272011,0
trec-20211,NCT01313624,0
trec-20211,NCT01314716,0
trec-20211,NCT01382667,0
trec-20211,NCT01441037,0
trec-20211,NCT01456377,0
trec-20211,NCT01495923,0
trec-20211,NCT01529827,0
trec-20211,NCT01561755,0
trec-20211,NCT01568918,0
trec-20211,NCT01588015,0
trec-20211,NCT01600417,0
trec-20211,NCT01604382,0
trec-20211,NCT01620411,0
trec-20211,NCT01649804,0
trec-20211,NCT01747993,0
trec-20211,NCT01784328,0
trec-20211,NCT01818349,0
trec-20211,NCT01830751,0
trec-20211,NCT01847027,0
trec-20211,NCT01858168,0
trec-20211,NCT01888120,0
trec-20211,NCT01915368,0
trec-20211,NCT01958736,0
trec-20211,NCT01976091,0
trec-20211,NCT01991457,0
trec-20211,NCT01993498,0
trec-20211,NCT01994200,0
trec-20211,NCT01994343,0
trec-20211,NCT01995500,0
trec-20211,NCT02044510,0
trec-20211,NCT02113332,0
trec-20211,NCT02117973,0
trec-20211,NCT02141035,0
trec-20211,NCT02146989,0
trec-20211,NCT02167204,0
trec-20211,NCT02174770,0
trec-20211,NCT02178774,0
trec-20211,NCT02215551,0
trec-20211,NCT02226692,0
trec-20211,NCT02229539,0
trec-20211,NCT02242084,0
trec-20211,NCT02247973,0
trec-20211,NCT02300909,0
trec-20211,NCT02303145,0
trec-20211,NCT02356276,0
trec-20211,NCT02383797,0
trec-20211,NCT02399670,0
trec-20211,NCT02415465,0
trec-20211,NCT02422459,0
trec-20211,NCT02453360,0
trec-20211,NCT02454907,0
trec-20211,NCT02465528,0
trec-20211,NCT02472288,0
trec-20211,NCT02473614,0
trec-20211,NCT02476097,0
trec-20211,NCT02494973,0
trec-20211,NCT02500459,0
trec-20211,NCT02502487,0
trec-20211,NCT02504073,0
trec-20211,NCT02518347,0
trec-20211,NCT02570529,0
trec-20211,NCT02577120,0
trec-20211,NCT02594631,0
trec-20211,NCT02600065,0
trec-20211,NCT02683343,0
trec-20211,NCT02684344,0
trec-20211,NCT02689830,0
trec-20211,NCT02761928,0
trec-20211,NCT02777398,0
trec-20211,NCT02780349,0
trec-20211,NCT02841163,0
trec-20211,NCT02844751,0
trec-20211,NCT02845596,0
trec-20211,NCT02883049,0
trec-20211,NCT02886143,0
trec-20211,NCT02892877,0
trec-20211,NCT02896361,0
trec-20211,NCT02918682,0
trec-20211,NCT02936739,0
trec-20211,NCT02936765,0
trec-20211,NCT02942641,0
trec-20211,NCT02973438,0
trec-20211,NCT02991456,0
trec-20211,NCT02996955,0
trec-20211,NCT03056573,0
trec-20211,NCT03104465,0
trec-20211,NCT03115879,0
trec-20211,NCT03116360,0
trec-20211,NCT03160807,0
trec-20211,NCT03174782,0
trec-20211,NCT03185806,0
trec-20211,NCT03199053,0
trec-20211,NCT03213717,0
trec-20211,NCT03280420,0
trec-20211,NCT03314259,0
trec-20211,NCT03325309,0
trec-20211,NCT03345134,0
trec-20211,NCT03347929,0
trec-20211,NCT03366779,0
trec-20211,NCT03416738,0
trec-20211,NCT03506607,0
trec-20211,NCT03511053,0
trec-20211,NCT03513679,0
trec-20211,NCT03541304,0
trec-20211,NCT03550690,0
trec-20211,NCT03591497,0
trec-20211,NCT03592316,0
trec-20211,NCT03597451,0
trec-20211,NCT03600701,0
trec-20211,NCT03606330,0
trec-20211,NCT03619200,0
trec-20211,NCT03626324,0
trec-20211,NCT03633721,0
trec-20211,NCT03672500,0
trec-20211,NCT03695848,0
trec-20211,NCT03709329,0
trec-20211,NCT03717532,0
trec-20211,NCT03727841,0
trec-20211,NCT03728179,0
trec-20211,NCT03736174,0
trec-20211,NCT03743740,0
trec-20211,NCT03753178,0
trec-20211,NCT03784729,0
trec-20211,NCT03810326,0
trec-20211,NCT03843073,0
trec-20211,NCT03863743,0
trec-20211,NCT03863847,0
trec-20211,NCT03872856,0
trec-20211,NCT03887962,0
trec-20211,NCT03893396,0
trec-20211,NCT03909321,0
trec-20211,NCT03914625,0
trec-20211,NCT03924999,0
trec-20211,NCT03942263,0
trec-20211,NCT03948386,0
trec-20211,NCT03955484,0
trec-20211,NCT03959085,0
trec-20211,NCT03959748,0
trec-20211,NCT03980457,0
trec-20211,NCT03987971,0
trec-20211,NCT04043416,0
trec-20211,NCT04044742,0
trec-20211,NCT04058171,0
trec-20211,NCT04059159,0
trec-20211,NCT04064957,0
trec-20211,NCT04087330,0
trec-20211,NCT04118426,0
trec-20211,NCT04132739,0
trec-20211,NCT04143386,0
trec-20211,NCT04159792,0
trec-20211,NCT04193995,0
trec-20211,NCT04201002,0
trec-20211,NCT04234165,0
trec-20211,NCT04236596,0
trec-20211,NCT04277039,0
trec-20211,NCT04292353,0
trec-20211,NCT04293562,0
trec-20211,NCT04293861,0
trec-20211,NCT04318795,0
trec-20211,NCT04338646,0
trec-20211,NCT04392466,0
trec-20211,NCT04441164,0
trec-20211,NCT04458753,0
trec-20211,NCT04463732,0
trec-20211,NCT04517630,0
trec-20211,NCT04535765,0
trec-20211,NCT04546399,0
trec-20211,NCT04553653,0
trec-20211,NCT04556994,0
trec-20211,NCT04576078,0
trec-20211,NCT04610385,0
trec-20211,NCT04611464,0
trec-20211,NCT04626063,0
trec-20211,NCT04635176,0
trec-20211,NCT04645264,0
trec-20211,NCT04663113,0
trec-20211,NCT04666909,0
trec-20211,NCT04677348,0
trec-20211,NCT04685213,0
trec-20211,NCT04764253,0
trec-20211,NCT04771936,0
trec-20211,NCT04848181,0
trec-20211,NCT00002814,2
trec-20211,NCT00003470,2
trec-20211,NCT00003471,2
trec-20211,NCT00003537,2
trec-20211,NCT00003621,2
trec-20211,NCT00005637,2
trec-20211,NCT00006474,2
trec-20211,NCT00064363,2
trec-20211,NCT00068510,2
trec-20211,NCT00080054,2
trec-20211,NCT00276783,2
trec-20211,NCT00301418,2
trec-20211,NCT00354068,2
trec-20211,NCT00430872,2
trec-20211,NCT00458731,2
trec-20211,NCT00575887,2
trec-20211,NCT00612001,2
trec-20211,NCT00613093,2
trec-20211,NCT00631137,2
trec-20211,NCT00643591,2
trec-20211,NCT00704080,2
trec-20211,NCT00705198,2
trec-20211,NCT00723827,2
trec-20211,NCT01103375,2
trec-20211,NCT01180816,2
trec-20211,NCT01386710,2
trec-20211,NCT01445119,2
trec-20211,NCT01499823,2
trec-20211,NCT01577966,2
trec-20211,NCT01624220,2
trec-20211,NCT01682187,2
trec-20211,NCT01711580,2
trec-20211,NCT01781468,2
trec-20211,NCT01849952,2
trec-20211,NCT01905228,2
trec-20211,NCT01996527,2
trec-20211,NCT02022384,2
trec-20211,NCT02119338,2
trec-20211,NCT02622620,2
trec-20211,NCT03108131,2
trec-20211,NCT03224104,2
trec-20211,NCT03370926,2
trec-20211,NCT03529708,2
trec-20211,NCT03561207,2
trec-20211,NCT04047303,2
trec-20211,NCT04211974,2
trec-20211,NCT04772456,2
trec-202111,NCT00001160,2
trec-202111,NCT00001730,2
trec-202111,NCT00003856,2
trec-202111,NCT00004062,2
trec-202111,NCT00026533,2
trec-202111,NCT00061906,2
trec-202111,NCT00084435,2
trec-202111,NCT00085293,2
trec-202111,NCT00094055,2
trec-202111,NCT00115895,2
trec-202111,NCT00381641,2
trec-202111,NCT00416949,2
trec-202111,NCT00459459,2
trec-202111,NCT00463814,2
trec-202111,NCT00537095,2
trec-202111,NCT00559949,2
trec-202111,NCT00598364,2
trec-202111,NCT00604318,2
trec-202111,NCT00729157,2
trec-202111,NCT00840047,2
trec-202111,NCT01137097,2
trec-202111,NCT01164176,2
trec-202111,NCT01301690,2
trec-202111,NCT01417442,2
trec-202111,NCT01534897,2
trec-202111,NCT01641679,2
trec-202111,NCT01655719,2
trec-202111,NCT01709292,2
trec-202111,NCT01811212,2
trec-202111,NCT01876784,2
trec-202111,NCT01947023,2
trec-202111,NCT01964144,2
trec-202111,NCT02012231,2
trec-202111,NCT02323724,2
trec-202111,NCT02393690,2
trec-202111,NCT02442661,2
trec-202111,NCT02540876,2
trec-202111,NCT02869620,2
trec-202111,NCT02973997,2
trec-202111,NCT03002623,2
trec-202111,NCT03469011,2
trec-202111,NCT03469544,2
trec-202111,NCT03488134,2
trec-202111,NCT03623516,2
trec-202111,NCT03884140,2
trec-202111,NCT03889769,2
trec-202111,NCT04031638,2
trec-202111,NCT04061980,2
trec-202111,NCT04248166,2
trec-202111,NCT04280081,2
trec-202111,NCT04462471,2
trec-202111,NCT04522570,2
trec-202111,NCT04601298,2
trec-202111,NCT00001228,0
trec-202111,NCT00002670,0
trec-202111,NCT00003041,0
trec-202111,NCT00030940,0
trec-202111,NCT00047125,0
trec-202111,NCT00049556,0
trec-202111,NCT00060242,0
trec-202111,NCT00077103,0
trec-202111,NCT00088907,0
trec-202111,NCT00100828,0
trec-202111,NCT00163007,0
trec-202111,NCT00200486,0
trec-202111,NCT00256308,0
trec-202111,NCT00309985,0
trec-202111,NCT00319839,0
trec-202111,NCT00326027,0
trec-202111,NCT00372333,0
trec-202111,NCT00375180,0
trec-202111,NCT00410761,0
trec-202111,NCT00520611,0
trec-202111,NCT00534859,0
trec-202111,NCT00573989,0
trec-202111,NCT00579410,0
trec-202111,NCT00581321,0
trec-202111,NCT00584623,0
trec-202111,NCT00585741,0
trec-202111,NCT00615537,0
trec-202111,NCT00629265,0
trec-202111,NCT00634777,0
trec-202111,NCT00712166,0
trec-202111,NCT00720070,0
trec-202111,NCT00721916,0
trec-202111,NCT00761332,0
trec-202111,NCT00795015,0
trec-202111,NCT00804830,0
trec-202111,NCT00832429,0
trec-202111,NCT00929318,0
trec-202111,NCT00947986,0
trec-202111,NCT00948012,0
trec-202111,NCT00965627,0
trec-202111,NCT00983697,0
trec-202111,NCT01014221,0
trec-202111,NCT01020279,0
trec-202111,NCT01022476,0
trec-202111,NCT01022905,0
trec-202111,NCT01025518,0
trec-202111,NCT01026584,0
trec-202111,NCT01029873,0
trec-202111,NCT01035268,0
trec-202111,NCT01106443,0
trec-202111,NCT01110941,0
trec-202111,NCT01113905,0
trec-202111,NCT01120236,0
trec-202111,NCT01252329,0
trec-202111,NCT01285557,0
trec-202111,NCT01299090,0
trec-202111,NCT01301248,0
trec-202111,NCT01313390,0
trec-202111,NCT01332578,0
trec-202111,NCT01357382,0
trec-202111,NCT01395134,0
trec-202111,NCT01403259,0
trec-202111,NCT01471288,0
trec-202111,NCT01484405,0
trec-202111,NCT01502410,0
trec-202111,NCT01524926,0
